nVectors,memcpyOut,plan,execu,memcpyIn
8500001,13.323,0.004,5.616,12.032
8500001,13.38,0.004,6.354,13.399
8500001,13.412,0.004,7.354,24.1
8500001,13.153,0.004,6.974,24.218
8500001,13.01,0.005,6.376,11.944
8500001,13.205,0.006,7.259,12.073
8500001,13.326,0.004,5.977,12.044
8500001,13.183,0.004,5.269,11.959
8500001,13.076,0.005,6.584,24.049
8500001,13.557,0.004,7.529,12.048
8500001,13.234,0.004,6.732,12.022
8500001,13.209,0.006,8.282,11.982
8500001,13.236,0.004,7.978,11.914
8500001,13.223,0.006,7.998,11.989
8500001,13.097,0.005,6.041,11.927
9000001,21.175,0.005,6.663,16.269
9000001,13.979,0.004,6.101,12.742
9000001,14.231,0.004,19.294,13.093
9000001,14.139,0.006,8.604,12.842
9000001,21.798,0.004,7.433,24.098
9000001,14.085,0.005,5.822,12.832
9000001,14.289,0.003,6.269,12.764
9000001,14.319,0.004,6.017,12.847
9000001,14.18,0.004,8.862,12.748
9000001,14.132,0.006,8.247,12.75
9000001,14.005,0.006,6.649,12.707
9000001,22.585,0.003,6.679,24.595
9000001,22.829,0.003,6.586,24.273
9000001,13.893,0.005,6.572,12.878
9000001,13.886,0.004,6.817,12.722
9000001,14.068,0.004,6.339,12.628
9000001,13.893,0.006,8.134,12.743
9000001,22.757,0.003,6.639,23.736
9000001,13.985,0.004,6.865,12.653
9000001,13.932,0.004,5.799,12.807
9000001,13.917,0.006,5.981,12.791
9000001,13.935,0.005,11.440,13.01
9000001,13.877,0.006,7.658,12.769
9000001,13.903,0.006,8.159,12.708
9500001,20.716,0.004,8.014,17.679
9500001,15.014,0.003,8.721,13.537
9500001,14.996,0.005,27.552,13.903
9500001,14.923,0.006,6.785,13.612
9500001,22.903,0.004,11.825,26.072
9500001,15.117,0.003,8.551,13.526
9500001,15.243,0.005,6.057,13.675
9500001,15.336,0.004,6.575,13.736
9500001,15.124,0.004,6.549,13.57
9500001,15.049,0.006,6.639,13.627
9500001,15.048,0.006,6.982,14.091
9500001,22.948,0.002,6.952,25.076
9500001,23.404,0.002,16.629,14.017
9500001,14.768,0.004,6.858,13.748
9500001,14.649,0.004,10.159,13.875
9500001,14.611,0.004,12.198,13.879
9500001,14.604,0.005,6.754,13.523
9500001,14.264,0.005,34.011,13.904
9500001,23.438,0.003,6.905,25.311
9500001,14.643,0.004,29.296,13.952
9500001,14.615,0.004,8.774,13.618
9500001,14.625,0.006,10.315,13.93
9500001,14.546,0.004,7.252,13.931
9500001,14.622,0.006,8.386,13.569
9500001,14.532,0.004,6.726,13.525
