nVectors,memcpyOut,plan,execu,memcpyIn
2,0.016,0.235,0.042,0.020,
2,0.076,0.142,0.020,0.018,
4,0.075,0.142,0.035,0.018,
8,0.076,0.142,0.026,0.018,
16,0.078,0.141,0.027,0.018,
32,0.075,0.143,0.028,0.018,
64,0.074,0.140,0.045,0.018,
128,0.079,0.156,0.033,0.018,
256,0.078,0.133,0.037,0.018,
512,0.073,0.136,0.033,0.019,
1024,0.074,0.136,0.039,0.021,
2048,0.077,0.150,0.040,0.025,
4096,0.085,0.151,0.042,0.032,
8192,0.162,0.140,0.045,0.084,
16384,0.134,0.139,0.045,0.072,
32768,0.185,0.135,0.042,0.127,
65536,0.294,0.132,0.046,0.231,
131072,0.505,0.202,0.069,0.446,
262144,0.801,0.195,0.096,0.754,
524288,1.382,0.197,0.150,1.274,
1048576,2.418,0.206,0.265,2.386,
2097152,4.691,0.313,0.510,5.614,
4194304,9.147,0.360,1.038,10.704,
8388608,18.021,0.394,2.131,21.250,
16777216,35.779,0.391,4.515,96.702,
2,0.016,0.200,0.041,0.021,
2,0.073,0.140,0.019,0.017,
4,0.073,0.139,0.035,0.017,
8,0.074,0.139,0.026,0.017,
16,0.076,0.138,0.026,0.017,
32,0.073,0.137,0.027,0.017,
64,0.072,0.135,0.039,0.018,
128,0.073,0.135,0.034,0.018,
256,0.073,0.136,0.037,0.018,
512,0.073,0.135,0.034,0.019,
1024,0.075,0.137,0.039,0.021,
2048,0.077,0.136,0.040,0.024,
4096,0.083,0.140,0.042,0.032,
8192,0.098,0.141,0.045,0.045,
16384,0.132,0.144,0.044,0.073,
32768,0.185,0.138,0.041,0.126,
65536,0.298,0.136,0.047,0.231,
131072,0.506,0.199,0.070,0.443,
262144,0.805,0.193,0.096,0.735,
524288,1.361,0.193,0.150,1.278,
1048576,2.429,0.209,0.262,2.378,
2097152,4.581,0.302,0.505,5.469,
4194304,9.127,0.367,1.040,10.790,
8388608,18.023,0.392,2.146,21.224,
16777216,35.816,0.401,4.525,96.702,
2,0.015,0.198,0.041,0.020,
2,0.073,0.138,0.019,0.018,
4,0.073,0.140,0.035,0.017,
8,0.074,0.137,0.026,0.017,
16,0.076,0.137,0.026,0.017,
32,0.074,0.138,0.027,0.017,
64,0.072,0.135,0.039,0.018,
128,0.072,0.133,0.033,0.018,
256,0.074,0.136,0.037,0.018,
512,0.073,0.134,0.034,0.019,
1024,0.074,0.136,0.040,0.021,
2048,0.078,0.138,0.040,0.025,
4096,0.084,0.141,0.042,0.031,
8192,0.100,0.140,0.045,0.046,
16384,0.132,0.144,0.044,0.072,
32768,0.185,0.136,0.042,0.125,
65536,0.293,0.135,0.046,0.232,
131072,0.506,0.201,0.071,0.445,
262144,0.820,0.193,0.097,0.717,
524288,1.369,0.193,0.152,1.275,
1048576,2.418,0.208,0.264,2.381,
2097152,4.599,0.300,0.523,5.418,
4194304,9.104,0.364,1.049,10.692,
8388608,18.041,0.392,2.152,21.257,
16777216,35.802,0.400,4.512,96.801,
2,0.016,0.197,0.041,0.020,
2,0.073,0.141,0.019,0.018,
4,0.073,0.137,0.035,0.017,
8,0.075,0.140,0.025,0.017,
16,0.076,0.147,0.030,0.017,
32,0.073,0.135,0.027,0.017,
64,0.073,0.134,0.040,0.018,
128,0.072,0.135,0.033,0.018,
256,0.073,0.134,0.037,0.018,
512,0.074,0.137,0.033,0.019,
1024,0.074,0.134,0.039,0.021,
2048,0.077,0.138,0.040,0.025,
4096,0.084,0.138,0.042,0.031,
8192,0.100,0.141,0.045,0.046,
16384,0.132,0.140,0.044,0.072,
32768,0.184,0.138,0.041,0.125,
65536,0.293,0.132,0.046,0.232,
131072,0.506,0.196,0.070,0.445,
262144,0.803,0.192,0.096,0.718,
524288,1.363,0.191,0.151,1.275,
1048576,2.438,0.210,0.263,2.374,
2097152,4.612,0.300,0.508,5.458,
4194304,9.109,0.367,1.059,10.718,
8388608,18.021,0.386,2.145,21.219,
16777216,36.077,0.377,4.527,96.448,
2,0.016,0.198,0.041,0.020,
2,0.073,0.140,0.019,0.017,
4,0.078,0.145,0.035,0.017,
8,0.074,0.138,0.026,0.017,
16,0.075,0.137,0.026,0.017,
32,0.073,0.138,0.027,0.017,
64,0.072,0.135,0.040,0.018,
128,0.074,0.134,0.033,0.018,
256,0.073,0.136,0.037,0.018,
512,0.073,0.134,0.034,0.019,
1024,0.075,0.137,0.039,0.020,
2048,0.077,0.138,0.040,0.024,
4096,0.084,0.141,0.042,0.031,
8192,0.101,0.141,0.045,0.045,
16384,0.132,0.143,0.044,0.072,
32768,0.184,0.136,0.041,0.125,
65536,0.293,0.143,0.046,0.232,
131072,0.506,0.199,0.070,0.445,
262144,0.805,0.193,0.096,0.718,
524288,1.364,0.192,0.151,1.273,
1048576,2.422,0.212,0.264,2.380,
2097152,4.600,0.299,0.509,5.417,
4194304,9.133,0.363,1.053,10.701,
8388608,18.047,0.382,2.148,21.216,
16777216,35.848,0.403,4.563,96.536,
2,0.016,0.195,0.041,0.020,
2,0.073,0.140,0.019,0.018,
4,0.073,0.141,0.034,0.017,
8,0.074,0.138,0.026,0.017,
16,0.075,0.138,0.026,0.017,
32,0.073,0.138,0.027,0.017,
64,0.072,0.135,0.039,0.018,
128,0.072,0.134,0.033,0.018,
256,0.075,0.136,0.037,0.018,
512,0.073,0.134,0.033,0.019,
1024,0.074,0.136,0.039,0.021,
2048,0.078,0.136,0.040,0.025,
4096,0.083,0.141,0.042,0.031,
8192,0.098,0.138,0.045,0.046,
16384,0.132,0.144,0.045,0.072,
32768,0.193,0.137,0.042,0.125,
65536,0.294,0.135,0.046,0.230,
131072,0.504,0.200,0.070,0.443,
262144,0.801,0.192,0.098,0.718,
524288,1.360,0.192,0.156,1.275,
1048576,2.432,0.209,0.262,2.373,
2097152,4.602,0.305,0.507,5.519,
4194304,9.098,0.369,1.048,10.711,
8388608,18.123,0.377,2.150,21.242,
16777216,35.803,0.402,4.540,96.537,
2,0.016,0.195,0.041,0.021,
2,0.073,0.140,0.019,0.017,
4,0.073,0.139,0.035,0.017,
8,0.074,0.138,0.026,0.017,
16,0.075,0.137,0.026,0.017,
32,0.073,0.138,0.027,0.017,
64,0.073,0.135,0.040,0.018,
128,0.072,0.134,0.033,0.018,
256,0.073,0.136,0.037,0.018,
512,0.073,0.135,0.033,0.019,
1024,0.088,0.141,0.040,0.021,
2048,0.076,0.138,0.041,0.025,
4096,0.084,0.141,0.042,0.031,
8192,0.106,0.139,0.045,0.046,
16384,0.131,0.145,0.044,0.072,
32768,0.185,0.136,0.042,0.127,
65536,0.293,0.136,0.046,0.231,
131072,0.505,0.199,0.070,0.442,
262144,0.806,0.193,0.096,0.720,
524288,1.368,0.204,0.149,1.271,
1048576,2.419,0.209,0.265,2.375,
2097152,4.596,0.302,0.507,5.465,
4194304,9.108,0.367,1.048,10.755,
8388608,18.043,0.398,2.249,21.256,
16777216,35.870,0.387,4.493,96.459,
2,0.016,0.194,0.041,0.020,
2,0.074,0.140,0.019,0.017,
4,0.073,0.139,0.035,0.018,
8,0.073,0.137,0.026,0.017,
16,0.077,0.137,0.026,0.017,
32,0.073,0.138,0.027,0.018,
64,0.072,0.135,0.040,0.018,
128,0.073,0.135,0.033,0.018,
256,0.073,0.136,0.037,0.018,
512,0.073,0.134,0.034,0.019,
1024,0.074,0.137,0.040,0.021,
2048,0.077,0.135,0.040,0.024,
4096,0.085,0.142,0.042,0.031,
8192,0.099,0.138,0.045,0.045,
16384,0.132,0.142,0.044,0.074,
32768,0.194,0.137,0.041,0.126,
65536,0.294,0.135,0.046,0.231,
131072,0.507,0.199,0.070,0.444,
262144,0.802,0.192,0.096,0.721,
524288,1.381,0.192,0.150,1.272,
1048576,2.425,0.210,0.264,2.392,
2097152,4.589,0.307,0.506,5.431,
4194304,9.147,0.369,1.046,10.712,
8388608,18.040,0.390,2.149,21.630,
16777216,35.781,0.395,4.497,97.090,
2,0.016,0.225,0.042,0.020,
2,0.073,0.152,0.019,0.018,
4,0.074,0.149,0.034,0.017,
8,0.073,0.148,0.025,0.015,
16,0.075,0.149,0.026,0.015,
32,0.074,0.150,0.027,0.017,
64,0.071,0.146,0.040,0.018,
128,0.075,0.153,0.033,0.018,
256,0.072,0.147,0.037,0.018,
512,0.072,0.147,0.034,0.019,
1024,0.074,0.146,0.039,0.021,
2048,0.077,0.146,0.040,0.025,
4096,0.084,0.149,0.042,0.032,
8192,0.100,0.151,0.045,0.046,
16384,0.132,0.149,0.048,0.076,
32768,0.186,0.153,0.041,0.125,
65536,0.296,0.145,0.046,0.232,
131072,0.507,0.208,0.070,0.444,
262144,0.805,0.203,0.096,0.721,
524288,1.365,0.205,0.151,1.274,
1048576,2.419,0.219,0.263,2.379,
2097152,4.596,0.318,0.509,5.447,
4194304,9.139,0.382,1.045,10.695,
8388608,18.018,0.407,2.163,21.200,
16777216,35.813,0.422,4.531,96.733,
2,0.016,0.213,0.042,0.021,
2,0.073,0.152,0.019,0.018,
4,0.073,0.150,0.034,0.017,
8,0.074,0.151,0.025,0.017,
16,0.075,0.162,0.026,0.017,
32,0.072,0.148,0.027,0.017,
64,0.071,0.144,0.040,0.018,
128,0.072,0.146,0.033,0.018,
256,0.073,0.146,0.037,0.018,
512,0.073,0.147,0.033,0.019,
1024,0.073,0.146,0.039,0.021,
2048,0.079,0.148,0.041,0.024,
4096,0.083,0.149,0.042,0.031,
8192,0.098,0.149,0.045,0.046,
16384,0.132,0.149,0.045,0.071,
32768,0.185,0.152,0.041,0.124,
65536,0.293,0.145,0.046,0.256,
131072,0.506,0.210,0.070,0.445,
262144,0.803,0.202,0.158,0.717,
524288,1.366,0.203,0.149,1.275,
1048576,2.471,0.225,0.276,2.381,
2097152,4.615,0.318,0.509,5.410,
4194304,9.099,0.398,1.044,10.698,
8388608,18.050,0.407,2.149,21.206,
16777216,35.833,0.423,4.520,96.787,
2,0.016,0.217,0.041,0.020,
2,0.073,0.151,0.019,0.017,
4,0.073,0.157,0.035,0.018,
8,0.074,0.151,0.026,0.017,
16,0.075,0.149,0.026,0.017,
32,0.072,0.148,0.027,0.018,
64,0.073,0.146,0.040,0.017,
128,0.072,0.147,0.033,0.018,
256,0.072,0.147,0.037,0.019,
512,0.074,0.147,0.033,0.019,
1024,0.073,0.147,0.040,0.021,
2048,0.077,0.147,0.040,0.024,
4096,0.085,0.151,0.042,0.032,
8192,0.109,0.159,0.045,0.045,
16384,0.132,0.148,0.044,0.071,
32768,0.193,0.157,0.041,0.126,
65536,0.293,0.145,0.046,0.231,
131072,0.505,0.209,0.070,0.453,
262144,0.804,0.203,0.095,0.720,
524288,1.360,0.205,0.152,1.274,
1048576,2.416,0.218,0.262,2.388,
2097152,4.608,0.322,0.508,5.432,
4194304,9.130,0.360,1.047,10.728,
8388608,18.099,0.394,2.146,21.217,
16777216,35.864,0.421,4.458,96.790,
2,0.016,0.212,0.041,0.020,
2,0.072,0.151,0.019,0.018,
4,0.072,0.149,0.035,0.018,
8,0.073,0.150,0.025,0.017,
16,0.076,0.149,0.026,0.017,
32,0.072,0.148,0.027,0.017,
64,0.072,0.144,0.039,0.018,
128,0.073,0.147,0.033,0.018,
256,0.072,0.148,0.037,0.018,
512,0.073,0.147,0.033,0.019,
1024,0.074,0.148,0.040,0.021,
2048,0.077,0.148,0.041,0.024,
4096,0.085,0.149,0.048,0.032,
8192,0.099,0.150,0.044,0.046,
16384,0.131,0.148,0.044,0.072,
32768,0.185,0.151,0.042,0.125,
65536,0.292,0.145,0.046,0.231,
