device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,64,8,1,37,393.196,48.543,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,64,16,1,37,393.218,48.214,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,64,32,1,37,393.169,49.133,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,64,64,1,37,393.583,48.344,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,64,128,1,37,393.2,48.678,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,1,1,37,393.298,48.473,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,2,1,37,395.219,48.961,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,4,1,37,394.049,48.694,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,8,1,37,393.22,48.58,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,16,1,37,393.39,48.463,0.013,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,32,1,37,393.128,48.764,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,64,1,37,394.119,48.538,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,256,1,1,37,393.113,48.617,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,256,2,1,37,393.182,49.016,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,256,4,1,37,393.067,48.452,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,256,8,1,37,394.124,48.42,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,256,16,1,37,393.081,48.622,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,256,32,1,37,393.172,48.611,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,512,1,1,37,393.083,48.375,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,512,2,1,37,393.613,48.846,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,512,4,1,37,393.101,48.235,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,512,8,1,37,393.103,48.589,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,512,16,1,37,393.291,48.863,0.01,-1,-1,-1
