device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,256,16,1,44.0186,981.809,48.858,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,256,32,1,44.0186,977.64,48.685,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,512,1,1,44.0186,979.632,48.852,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,512,2,1,44.0186,974.919,48.404,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,512,4,1,44.0186,970.27,48.856,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,512,8,1,44.0186,1187.14,48.86,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,512,16,1,44.0186,971.232,48.912,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1024,1,1,44.0186,967.206,48.934,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1024,2,1,44.0186,963.055,48.856,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1024,4,1,44.0186,965.592,48.955,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1024,8,1,44.0186,965.644,48.694,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2048,1,1,44.0186,969.682,53.27,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2048,2,1,44.0186,965.066,48.576,0.007,-1,-1,-1
