device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,661.082,134.721,0.002,12.514,38.008,0.684
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,657.54,133.966,0.002,7.685,18.956,0.648
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,655.062,134.009,0.002,4.758,9.861,0.637
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,654.641,134.282,0.002,3.06,5.283,0.647
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,651.986,133.784,0.002,1.983,3.062,0.677
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,650.997,134.803,0.002,1.605,1.786,0.659
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,650.965,133.809,0.002,1.458,1.56,0.582
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,651.01,133.725,0.003,1.55,1.302,0.59
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,651.789,133.746,0.002,1.724,1.199,0.59
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,650.924,133.669,0.002,2.114,1.266,0.586
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,674.036,134.043,0.002,20.164,75.185,0.95
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,664.677,134.153,0.002,12.514,37.852,0.896
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,655.412,135.641,0.002,7.672,19.086,0.657
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,652.604,134.181,0.002,4.746,9.853,0.632
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,651.536,134.722,0.002,3.052,5.421,0.626
