device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2048,1,1,1.82,0.005,5.064,0.595,1.32
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4096,1,1,1.551,0.005,3.379,0.61,1.221
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8192,1,1,2.454,0.005,2.938,0.589,1.148
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1,1,1,1.103,0.005,5.507,0.313,1.15
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2,1,1,1.721,0.005,13.076,0.315,1.147
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4,1,1,1.87,0.005,12.213,0.306,1.747
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8,1,1,1.995,0.005,15.875,0.261,1.08
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,16,1,1,1.963,0.005,14.429,0.3,1.124
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,32,1,1,1.918,0.005,15.674,0.26,1.08
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,64,1,1,1.866,0.005,12.348,0.311,1.048
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,128,1,1,2.001,0.005,11.119,0.338,1.217
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,256,1,1,1.636,0.005,9.217,0.313,1.075
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,512,1,1,1.883,0.005,9.713,0.309,1.409
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1024,1,1,1.902,0.002,9.079,0.308,1.067
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2048,1,1,1.978,0.005,5.038,0.295,1.042
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4096,1,1,1.212,0.005,3.576,0.262,1.549
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8192,1,1,1.971,0.005,2.89,0.315,1.701
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1,1,1,1.858,0.005,5.342,0.244,1.039
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2,1,1,2.558,0.005,8.364,0.305,1.933
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4,1,1,1.868,0.005,10.308,0.245,1.045
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8,1,1,2.224,0.005,12.025,0.307,1.063
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,16,1,1,2.011,0.005,12.731,0.246,1.066
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,32,1,1,1.977,0.005,15.007,0.308,1.051
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,64,1,1,2.073,0.005,11.764,0.244,1.031
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,128,1,1,2.281,0.005,13.377,0.291,1.157
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,256,1,1,2.04,0.005,10.961,0.264,1.43
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,512,1,1,1.858,0.005,10.702,0.295,1.158
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1024,1,1,2.203,0.006,10.123,0.305,1.162
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2048,1,1,1.851,0.005,5.762,0.225,1.363
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4096,1,1,1.298,0.005,3.496,0.238,1.59
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8192,1,1,2.028,0.005,2.813,0.252,1.371
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1,1,1,1.031,0.005,5.479,0.581,1.301
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2,1,1,1.766,0.006,10.938,0.601,1.137
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4,1,1,1.686,0.005,8.91,0.579,1.127
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8,1,1,1.842,0.005,9.349,0.576,1.139
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,16,1,1,1.884,0.005,10.231,0.584,1.178
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,32,1,1,1.905,0.005,14.458,0.579,1.124
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,64,1,1,1.907,0.005,9.349,0.604,1.046
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,128,1,1,1.741,0.005,12.371,0.581,1.056
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,256,1,1,1.573,0.003,9.527,0.583,1.086
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,512,1,1,1.915,0.005,7.745,0.582,1.029
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1024,1,1,1.648,0.005,9.184,0.617,1.046
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2048,1,1,1.415,0.005,4.788,0.583,1.052
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4096,1,1,1.094,0.005,3.942,0.583,1.098
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8192,1,1,2.281,0.002,2.408,0.388,0.819
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1,1,1,1.663,0.005,5.481,0.586,1.136
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2,1,1,1.934,0.005,14.134,0.623,1.125
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4,1,1,2.569,0.005,21.669,0.579,1.127
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8,1,1,2.079,0.005,11.637,0.582,1.138
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,16,1,1,2.063,0.005,10.372,0.575,1.377
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,32,1,1,2.12,0.005,12.404,0.583,1.187
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,64,1,1,1.832,0.004,9.38,0.629,1.077
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,128,1,1,2.101,0.002,8.924,0.399,0.846
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,256,1,1,2.092,0.005,10.233,0.575,1.564
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,512,1,1,1.928,0.004,12.511,0.607,1.052
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1024,1,1,2.066,0.005,11.153,0.61,1.094
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2048,1,1,2.118,0.004,5.005,0.598,1.14
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4096,1,1,1.664,0.005,3.369,0.581,1.142
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8192,1,1,1.911,0.005,3.409,0.588,1.164
