device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,FWT,ONE_D,32768,128,1,1,0.426,0.001,0.456,0.339,0.06
Hawaii,FWT,ONE_D,32768,256,1,1,0.445,0.002,0.565,0.207,0.038
Hawaii,FWT,ONE_D,32768,1,1,1,0.395,0.002,3.249,0.233,0.047
Hawaii,FWT,ONE_D,32768,2,1,1,0.377,0.001,2.087,0.229,0.038
Hawaii,FWT,ONE_D,32768,4,1,1,0.429,0.002,1.171,0.202,0.038
Hawaii,FWT,ONE_D,32768,8,1,1,0.314,0.001,0.878,0.207,0.038
Hawaii,FWT,ONE_D,32768,16,1,1,0.308,0.001,0.786,0.206,0.038
Hawaii,FWT,ONE_D,32768,32,1,1,0.345,0,0.561,0.356,0.037
Hawaii,FWT,ONE_D,32768,64,1,1,0.442,0.001,0.454,0.34,0.071
Hawaii,FWT,ONE_D,32768,128,1,1,0.438,0.001,0.494,0.364,0.038
Hawaii,FWT,ONE_D,32768,256,1,1,0.429,0.002,0.631,0.208,0.039
Hawaii,FWT,ONE_D,32768,1,1,1,0.505,0.002,2.888,0.219,0.046
Hawaii,FWT,ONE_D,32768,2,1,1,0.452,0.002,1.774,0.319,0.038
Hawaii,FWT,ONE_D,32768,4,1,1,0.256,0.001,1.432,0.38,0.04
Hawaii,FWT,ONE_D,32768,8,1,1,0.435,0.001,0.996,0.339,0.057
Hawaii,FWT,ONE_D,32768,16,1,1,0.426,0.002,0.9,0.242,0.04
Hawaii,FWT,ONE_D,32768,32,1,1,0.41,0.002,0.729,0.255,0.041
Hawaii,FWT,ONE_D,32768,64,1,1,0.474,0.002,0.639,0.39,0.037
Hawaii,FWT,ONE_D,32768,128,1,1,0.427,0.001,0.455,0.342,0.061
Hawaii,FWT,ONE_D,32768,256,1,1,0.474,0.002,0.64,0.358,0.057
Hawaii,FWT,ONE_D,32768,1,1,1,0.502,0.003,3.032,0.318,0.044
Hawaii,FWT,ONE_D,32768,2,1,1,0.385,0.002,1.869,0.34,0.038
Hawaii,FWT,ONE_D,32768,4,1,1,0.424,0.002,1.243,0.202,0.039
Hawaii,FWT,ONE_D,32768,8,1,1,0.39,0.001,1.008,0.303,0.039
Hawaii,FWT,ONE_D,32768,16,1,1,0.431,0.001,0.763,0.206,0.04
Hawaii,FWT,ONE_D,32768,32,1,1,0.424,0.001,0.501,0.334,0.064
Hawaii,FWT,ONE_D,32768,64,1,1,0.415,0.002,0.595,0.239,0.038
Hawaii,FWT,ONE_D,32768,128,1,1,0.407,0.002,0.638,0.205,0.037
Hawaii,FWT,ONE_D,32768,256,1,1,0.398,0.002,0.649,0.207,0.038
