device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,64,1,103.503,0.004,2160.42,0.002,16.743
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,128,1,100.465,0.002,1961.71,0.002,16.487
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,256,1,98.085,0.004,2679.92,0.002,19.089
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,1,1,100.81,0.002,1516.26,0.001,16.39
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,2,1,100.683,0.004,1422.74,0.002,16.69
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,4,1,102.991,0.003,1407.82,0.001,16.734
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,8,1,100.611,0.003,1427.68,0.002,16.72
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,16,1,104.15,0.003,1435.97,0.001,16.674
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,32,1,104.217,0.005,1446.24,0.001,16.413
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,64,1,103.883,0.003,1570.16,0.001,16.717
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,128,1,98.664,0.003,1729.32,0.002,16.775
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,1,1,98.196,0.004,1409.6,0.001,16.736
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,2,1,102.858,0.003,1388.57,0.001,16.746
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,4,1,101.807,0.002,1420.39,0.001,16.755
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,8,1,98.447,0.004,1411.51,0.001,16.447
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,16,1,102.006,0.003,1371.1,0.001,16.345
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,32,1,100.354,0.003,1391.55,0.002,16.407
