device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,2,1,1,391,2629,398.725,0.01,2.153,0.018,2.729
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,4,1,1,391,2629.76,400.794,0.011,1.451,0.026,4.584
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,8,1,1,391,2628,379.893,0.008,0.543,0.013,4.474
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,16,1,1,391,2668.78,390.959,0.009,0.559,0.009,3.51
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,32,1,1,391,2633.92,397.239,0.009,0.93,0.282,3.428
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,64,1,1,391,2630.22,397.344,0.009,0.771,0.011,3.485
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,128,1,1,391,2631.1,396.971,0.009,0.87,0.012,3.5
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,256,1,1,391,2632.04,397.348,0.008,0.585,0.286,3.625
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,512,1,1,391,2630.45,396.739,0.007,0.74,0.011,3.507
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,1024,1,1,391,2645.66,404.827,0.008,0.379,0.011,3.606
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,2048,1,1,391,2633.09,396.955,0.008,0.45,0.013,3.774
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,4096,1,1,391,2632.43,397.162,0.008,0.208,0.013,3.77
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,8192,1,1,391,2631.44,396.781,0.008,0.17,0.012,3.839
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,1,1,1,391,2629.64,396.612,0.027,3.923,0.015,4.103
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,2,1,1,391,2629.42,398.813,0.011,2.277,0.017,4.462
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,4,1,1,391,2699.91,389.538,0.011,1.468,0.034,4.056
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,8,1,1,391,2630.34,406.152,0.011,0.982,0.024,4.946
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,16,1,1,391,2631.5,389.471,0.011,0.895,0.026,4.142
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,32,1,1,391,2629.8,406.631,0.01,6.256,0.012,2.686
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,64,1,1,391,2627.89,396.772,0.008,0.325,0.011,4.107
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,128,1,1,391,2634.74,390.012,0.008,0.347,0.011,3.488
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,256,1,1,391,2634.9,389.991,0.009,0.377,0.012,3.502
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,512,1,1,391,2647.62,389.449,0.009,0.322,0.008,3.478
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,1024,1,1,391,2634.47,389.497,0.011,0.351,0.013,3.509
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,2048,1,1,391,2634.28,389.767,0.008,0.3,0.015,3.541
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,4096,1,1,391,2634.92,389.305,0.008,0.27,0.011,3.455
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.13802e+06,8192,1,1,391,2635.1,389.377,0.008,0.181,0.026,3.542
