device/C,kernel/C,workDimension/C,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1024,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2048,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4096,1,1,12,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8192,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,12,0.001,0.001,0,1.315,0.001,1.347
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,12,0.001,0,0,0.496,0.001,1.089
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,12,0,0,0.001,0.291,0.001,1.04
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,12,0.001,0,0,0.285,0.001,1.019
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,16,1,1,12,0,0,0,0.253,0.001,1.002
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,32,1,1,12,0.001,0.001,0,0.255,0,1.012
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,64,1,1,12,0,0,0,0.242,0.001,0.994
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,128,1,1,12,0,0,0,0.228,0,0.988
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,256,1,1,12,0,0,0,0.22,0.001,0.954
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,512,1,1,12,0,0,0,0.195,0,0.962
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1024,1,1,12,0.001,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2048,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4096,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8192,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,12,0.001,0,0,1.492,0.001,1.492
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,12,0,0.001,0,0.382,0,1.042
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,12,0.001,0,0,0.282,0.001,1.009
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,12,0.001,0,0,0.276,0,1.016
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,16,1,1,12,0,0.001,0,0.269,0,1.076
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,32,1,1,12,0,0,0,0.254,0.001,0.949
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,64,1,1,12,0,0,0,0.224,0,0.943
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,128,1,1,12,0,0.001,0,0.211,0,0.962
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,256,1,1,12,0,0.001,0,0.215,0,0.997
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,512,1,1,12,0,0,0,0.219,0,0.999
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1024,1,1,12,0.001,0.001,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2048,1,1,12,0,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4096,1,1,12,0,0.001,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8192,1,1,12,0,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,12,0,0,0.001,1.232,0,0.829
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,12,0.001,0,0,0.91,0.001,0.955
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,12,0.001,0.001,0,0.271,0,1.016
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,12,0.001,0.001,0,0.254,0,0.987
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,16,1,1,12,0,0.001,0,0.248,0.001,0.979
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,32,1,1,12,0.001,0.001,0,0.246,0,0.967
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,64,1,1,12,0,0,0,0.233,0,0.93
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,128,1,1,12,0,0,0,0.197,0,0.952
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,256,1,1,12,0,0.001,0,0.189,0.001,0.933
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,512,1,1,12,0,0,0,0.179,0,0.915
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1024,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2048,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4096,1,1,12,0,0.001,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8192,1,1,12,0,0.001,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,12,0,0,0.001,1.319,0,0.717
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,12,0.001,0.001,0,0.968,0.001,0.89
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,12,0,0,0,0.404,0.001,0.917
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,12,0,0,0.001,0.415,0,0.907
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,16,1,1,12,0,0,0,0.414,0,0.895
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,32,1,1,12,0.001,0,0,0.407,0,0.945
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,64,1,1,12,0,0,0.001,0.259,0,0.921
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,128,1,1,12,0,0,0,0.433,0.001,0.901
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,256,1,1,12,0.001,0.001,0,0.382,0,0.906
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,512,1,1,12,0,0,0,0.378,0.001,0.917
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1024,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2048,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4096,1,1,12,0,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8192,1,1,12,0,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,12,0,0,0.001,1.47,0.001,0.902
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,12,0.001,0,0,0.763,0.001,0.916
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,12,0,0,0,0.498,0.001,0.9
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,12,0,0,0.001,0.405,0.001,1.255
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,16,1,1,12,0,0,0.001,0.405,0.001,0.962
