device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.778,0,294.63,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.517,0.001,9848.82,0,0.107
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.804,0,4995.52,0.001,0.106
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.793,0.001,2625.7,0,0.107
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.785,0.001,1345.33,0,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.88,0,790.039,0.001,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.787,0,541.809,0.001,0.105
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.791,0.001,271.995,0,0.101
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.784,0.001,270.976,0,0.103
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.8,0,275.017,0,0.103
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.789,0,283.719,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.783,0.001,294.634,0,0.107
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,2.548,0.002,9847.96,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.797,0.001,4997,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.747,0,2625.48,0,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.734,0.001,1345.21,0,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.72,0.001,790.044,0.001,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.72,0.001,541.665,0,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.725,0.001,271.842,0,0.093
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.715,0,270.834,0,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.713,0.001,274.923,0,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.72,0.001,283.569,0.001,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.716,0.001,294.466,0.001,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.306,0.001,9850.53,0,0.098
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.766,0,4995.6,0.001,0.098
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.758,0,2625.02,0,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.745,0.001,1345.92,0,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.748,0,789.964,0.001,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.747,0,541.802,0,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.749,0,271.946,0.001,0.094
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.746,0.001,270.913,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.743,0,274.972,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.736,0.001,283.651,0.001,0.091
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.743,0,294.584,0,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.309,0.001,9849.2,0.001,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.771,0,4995.13,0,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.734,0.001,2625.56,0,0.098
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.742,0.001,1345.23,0.001,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.799,0.001,789.814,0.001,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.729,0.001,541.505,0,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.726,0.001,271.842,0,0.091
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.727,0.001,270.855,0,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.724,0.001,274.887,0,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.733,0.001,283.531,0,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.72,0.001,294.551,0,0.093
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.3,0,9848.16,0,0.101
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.764,0,4996.45,0,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.747,0.001,2624.63,0,0.107
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.742,0.001,1345.4,0,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.741,0,789.944,0.001,0.105
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.742,0,541.649,0.001,0.103
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.734,0,271.851,0,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.74,0,270.85,0,0.098
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.741,0,274.923,0,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.744,0.001,283.617,0.001,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.747,0,294.424,0,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.425,0.001,9848.38,0.001,0.107
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.804,0.001,4996.26,0.001,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.787,0.001,2624.84,0.001,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.79,0.001,1345.84,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.784,0,790.096,0,0.105
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.792,0.001,541.988,0,0.109
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.779,0.001,272.018,0,0.103
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.813,0.001,270.996,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.775,0.001,275.078,0,0.103
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.778,0,283.715,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.783,0.001,294.675,0.001,0.101
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.393,0,9848.67,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.814,0,4995.68,0,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.811,0,2625.66,0,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.801,0.001,1345.9,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.811,0.001,789.981,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.791,0.001,541.602,0.001,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.792,0.001,271.956,0.001,0.103
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.791,0.001,270.909,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.789,0,274.996,0,0.112
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.793,0.001,283.645,0.001,0.107
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.792,0.001,294.598,0,68.556
