device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,64,1,1,35.758,0.003,767.714,34.963,0.565
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,64,2,1,35.871,0.003,707.675,34.705,0.585
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,64,4,1,35.7,0.003,640.794,34.789,0.575
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,64,8,1,35.744,0.002,394.658,34.7,0.579
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,64,16,1,35.632,0.003,475.584,34.698,0.571
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,128,1,1,35.707,0.002,707.619,34.711,0.59
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,128,2,1,35.652,0.003,641.045,34.805,0.572
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,128,4,1,35.779,0.003,394.057,34.786,0.577
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,128,8,1,35.701,0.003,475.342,34.879,0.567
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,256,1,1,35.903,0.002,640.659,34.99,0.561
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,256,2,1,35.819,0.003,393.849,34.801,0.573
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,256,4,1,35.738,0.002,475.121,34.819,0.578
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,512,1,1,35.887,0.002,394.505,34.825,0.578
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,512,2,1,35.636,0.002,475.401,34.679,0.63
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1024,1,1,35.763,0.002,475.272,34.872,0.564
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,1,1,36.165,0.002,7502.7,35.218,0.439
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,2,1,36.337,0.002,3806.07,35.467,0.45
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,4,1,36.128,0.002,2184.92,35.299,0.483
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,8,1,36.336,0.003,1478.59,35.543,0.46
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,16,1,36.107,0.003,1043.37,35.503,0.423
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,32,1,36.182,0.003,805.948,35.46,0.436
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,64,1,36.1,0.002,769.398,35.462,0.432
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,128,1,36.511,0.002,708.935,35.673,0.452
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,256,1,36.292,0.002,642.243,35.448,0.446
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,512,1,36.227,0.003,395.603,35.408,0.44
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,1024,1,36.164,0.003,477.001,35.597,0.447
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,1,1,36.334,0.003,3806.21,35.16,0.432
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,2,1,36.605,0.002,2184.92,35.175,0.436
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,4,1,36.185,0.002,1478.53,35.121,0.444
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,8,1,36.371,0.003,1043.17,35.431,0.439
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,16,1,36.163,0.002,806.513,38.771,0.488
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,32,1,36.254,0.002,769.394,35.361,0.428
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,64,1,36.298,0.002,709.121,35.273,0.437
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,128,1,36.145,0.003,642.243,35.28,0.432
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,256,1,36.154,0.002,395.562,35.265,0.481
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,512,1,36.191,0.003,477.325,35.398,0.437
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,1,1,36.357,0.002,2185.25,35.09,0.438
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,2,1,36.118,0.002,1478.36,35.081,0.441
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,4,1,36.135,0.003,1043.07,35.355,0.431
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,8,1,36.086,0.002,806.541,35.818,0.431
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,16,1,36.436,0.002,769.738,35.387,0.436
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,32,1,36.023,0.003,709.297,35.293,0.45
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,64,1,36.54,0.002,642.06,35.303,0.452
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,128,1,36.18,0.002,395.727,35.389,0.43
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,256,1,36.227,0.002,477.272,35.275,0.442
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,1,1,36.455,0.003,1478.87,35.448,0.435
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,2,1,36.225,0.003,1043.09,35.045,0.45
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,4,1,36.173,0.002,806.142,35.393,0.441
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,8,1,36.353,0.003,769.549,35.315,0.43
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,16,1,36.115,0.003,708.989,35.334,0.431
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,32,1,36.243,0.002,642.449,35.396,0.44
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,64,1,36.171,0.002,395.998,35.265,0.439
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,128,1,36.21,0.002,477.24,35.332,0.431
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,1,1,36.162,0.003,1043.47,35.505,0.443
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,2,1,36.262,0.003,806.301,35.521,0.436
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,4,1,36.199,0.003,769.472,35.378,0.433
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,8,1,36.202,0.003,709.353,35.371,0.434
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,16,1,36.143,0.003,642.102,35.368,0.428
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,32,1,36.292,0.002,395.793,35.273,0.431
