nThreads,memcpyOut,plan,execu,memcpyIn
41,0.676,8.537,1.406,0.824,
42,0.674,8.516,1.480,0.806,
43,0.675,8.512,1.377,0.817,
44,0.685,8.503,1.357,1.017,
45,0.984,13.320,1.246,0.777,
46,0.658,8.528,1.263,0.827,
47,0.683,8.516,1.297,0.823,
48,0.672,8.541,1.504,0.824,
1,0.676,4.202,3.766,0.709,
2,0.705,7.076,2.998,0.756,
3,0.714,7.743,2.693,0.787,
4,0.683,7.615,2.721,0.791,
5,0.706,8.506,2.230,0.828,
6,0.726,8.769,2.402,0.821,
7,0.731,8.713,2.110,0.818,
8,0.673,7.652,2.164,0.821,
9,0.670,7.921,1.545,0.833,
10,0.661,7.917,1.614,0.831,
11,0.671,7.827,1.827,0.788,
12,0.672,7.845,1.750,0.815,
13,0.653,7.859,1.775,0.798,
14,0.673,7.851,1.691,0.812,
15,0.666,7.850,1.646,0.805,
16,0.671,7.848,1.618,0.818,
17,0.670,7.868,1.707,0.831,
18,0.681,7.873,1.690,0.808,
19,0.686,7.875,1.743,0.824,
20,0.683,7.877,1.614,0.798,
21,0.678,8.284,1.805,0.796,
22,0.667,8.206,1.727,0.824,
23,0.685,8.227,1.706,0.789,
24,0.671,8.239,1.547,0.797,
25,0.654,8.244,1.737,0.804,
26,0.653,8.531,1.260,0.807,
27,0.658,8.514,1.242,0.813,
28,0.655,8.523,1.276,0.790,
29,0.668,8.488,1.349,0.789,
30,0.676,8.514,1.601,0.811,
31,0.661,8.510,1.252,0.801,
32,0.649,8.519,1.293,0.806,
33,0.668,8.494,1.485,0.807,
34,0.655,8.515,1.311,0.806,
35,0.679,8.507,1.509,0.821,
36,0.669,8.504,1.548,0.782,
37,0.662,8.504,1.253,0.810,
38,0.662,8.514,1.372,0.813,
39,0.670,8.515,1.386,0.807,
40,0.663,8.521,1.351,0.780,
41,0.680,8.508,1.160,0.785,
42,0.661,8.507,1.360,0.791,
43,0.676,8.514,1.227,0.794,
44,0.675,8.525,1.114,0.787,
45,0.678,8.523,1.509,0.807,
46,0.688,8.517,1.365,0.797,
47,0.686,8.529,1.383,0.809,
48,0.680,8.519,1.327,0.812,
1,0.669,4.203,3.715,0.712,
2,0.705,7.081,3.341,0.756,
3,0.732,8.128,2.907,0.795,
4,0.719,8.297,2.726,0.770,
5,0.692,7.808,2.416,0.809,
6,0.692,8.233,2.549,0.787,
7,0.763,8.700,2.006,0.802,
8,0.685,7.646,2.053,0.797,
9,0.681,7.924,1.594,0.823,
10,0.671,7.914,1.817,0.791,
11,0.677,7.851,1.881,0.822,
